タイムスタンプ,あなた,対戦相手,スコア [あなた],スコア [対戦相手],コメント,対戦日(省略すると本日)
2022/03/26 17:53:50,カブキ,さっきー須崎さん,4,0,2部開幕戦！,2022/03/26
2022/03/26 17:58:52,さっきー須崎さん,ちーちゃん,4,2,,
2022/03/26 17:59:53,カブキ,ちーちゃん,4,1,,
2022/03/27 14:01:18,ちーちゃん,さっきー須崎さん,2,4,,2022/03/26
2022/05/04 13:24:13,ツッチー,カブキ,4,3,,2022/05/03
2022/05/04 13:24:45,ちーちゃん,ツッチー,1,4,,2022/05/03
2022/05/04 13:25:15,ちーちゃん,カブキ,1,4,,2022/05/03
2022/05/04 13:25:50,ツッチー,カブキ,4,3,,2022/05/03
2022/05/04 13:26:17,ちーちゃん,ツッチー,0,4,,2022/05/03
2022/05/04 13:26:45,ちーちゃん,カブキ,1,4,,2022/05/03